zip_code_area,Average Commute Time
08822,33.9120315012
08889,32.0923979428
18947,55.3362504018
08825,43.1170282867
07936,44.4417952427
08886,41.4633445837
07901,37.8320588235
07073,50.9246303439
08865,46.7801189328
08820,39.7746383799
08876,33.2743089039
08807,30.5941337191
08902,41.4612102218
18976,60.8276197364
07030,55.3617164899
07652,60.3305850209
18015,55.4649148184
08833,31.7761491482
07066,40.7015509482
08853,34.1709016393
08873,36.2867647059
18951,63.7042269367
08502,40.0628334941
08831,51.4555368049
10306,51.5529170685
18013,60.2170765027
18902,55.3121825779
07090,39.0093297975
08551,38.4612745098
07014,51.8143442623
08844,35.1768643523
07065,42.5233686917
07830,40.9532947605
08827,37.8217132755
07920,34.4277402764
07730,49.4711025394
07746,54.2855994857
08840,36.7128415301
07022,59.2481035037
07080,35.3734651238
07092,36.7402041144
07005,47.2046930248
07662,55.4743281903
08812,33.7902860817
07747,48.5487463838
18045,51.4964561234
07853,41.8463195114
08801,33.2213275474
07832,61.8144808743
07023,36.3137415622
07016,40.6150916104
07825,61.8900273224
08837,36.0105271617
18040,51.937455802
07928,40.1716891675
07083,40.8994696239
07010,59.2456605593
08854,32.7229508197
19020,64.9968579235
07054,42.2340887175
07930,39.2727097396
08540,44.1907907425
18036,61.6843137255
07202,43.9449292832
07059,33.9882754741
07974,37.0272902604
18034,56.9340967535
07027,39.1082690453
08826,44.2428801029
07821,53.9987544198
07042,50.6604789457
07823,50.4411121826
07960,38.0215204114
07036,45.143900675
08802,37.468772099
18020,51.8526117004
07306,49.2460864674
07885,49.3524365156
08882,44.8296618357
10310,55.9649630344
07931,36.2775908068
07882,45.9715766635
07945,42.3833333333
07076,38.7288765671
08512,48.437295082
07701,59.0661362906
08850,41.8925387597
07067,42.5963114754
07922,35.8630504661
07940,40.1397973951
08846,33.6369575699
18042,44.6438669238
18925,56.248132947
08559,43.9846290037
18901,56.1922677596
18052,65.4127643844
18920,46.4355753777
08867,37.2089038894
07078,39.0402764384
07803,49.0030810029
07002,49.7751141112
18929,58.5164995179
08857,47.3528351012
10001,57.1016313083
07840,49.9549582128
08809,37.9798778528
07063,35.7719302475
18343,60.6105110897
07753,59.6301751848
07924,37.2784072645
07463,61.7864513018
18103,60.2801189328
07438,61.9535036966
08501,57.5556493089
07436,56.0093940855
18938,46.3004098361
08848,42.2076342012
18914,64.5347717776
07033,40.5193185471
08804,40.3979508197
07950,42.9653567985
08887,33.6231276117
07045,45.6024349084
08805,31.8276518804
07006,48.4443346191
07081,39.1012134362
18017,56.5770009643
07095,40.4778367085
07110,50.6036724526
08550,53.0579717133
07302,50.4324091932
07082,48.3766714883
08536,48.4412246866
18106,64.5619897139
07863,49.7722436516
08836,33.0629218901
07432,61.2605914497
18039,50.3367727419
08884,47.7514063002
07068,45.4944310511
