Zip Code,Number of Employees,Number in Org A,Number in Org B,Number in Org C,Number in Org D,Number in Org E,Number in Org F,Number in Org G,Number in Org H,Number in Org I,Number in Org J,Number in Org K,Number in Org L,"Driving Minutes to White House Station, NJ","Driving Minutes to Kenilworth, NJ","Driving Minutes to West Point, PA",Change in Duration for Kenilworth Move,Change in Duration for West Point Move
08822,86,3,20,3,14,24,16,2,4,0,0,0,0,9.5,47.1,55.4166666667,37.6,45.9166666667
19095,1,0,1,0,0,0,0,0,0,0,0,0,0,72.1333333333,83.85,22.8833333333,11.7166666667,-49.25
08889,70,1,14,4,16,11,12,6,4,1,0,1,0,0,39.9,65.0666666667,39.9,65.0666666667
18947,10,1,1,0,4,2,0,0,2,0,0,0,0,47.85,75.6833333333,35.7,27.8333333333,-12.15
08825,9,0,5,0,4,0,0,0,0,0,0,0,0,28.1833333333,58.7,52.8833333333,30.5166666667,24.7
07936,3,0,2,0,0,0,0,1,0,0,0,0,0,40.0666666667,26.4833333333,97.6833333333,-13.5833333333,57.6166666667
08886,30,1,9,1,8,5,4,1,1,0,0,0,0,29.2166666667,54.1166666667,64.8333333333,24.9,35.6166666667
07901,25,1,4,5,10,2,3,0,0,0,0,0,0,32.05,14.75,90.0833333333,-17.3,58.0333333333
07073,1,0,0,0,1,0,0,0,0,0,0,0,0,50.3166666667,24.3,99.8666666667,-26.0166666667,49.55
08046,3,0,1,0,0,1,1,0,0,0,0,0,0,66.4333333333,64.7333333333,49.7333333333,-1.7,-16.7
08865,27,0,9,3,2,11,0,2,0,0,0,0,0,36.7166666667,61.6,64.1666666667,24.8833333333,27.45
07712,2,0,1,0,1,0,0,0,0,0,0,0,0,60.65,42.3166666667,83.4,-18.3333333333,22.75
08820,12,0,6,0,1,3,2,0,0,0,0,0,0,36.75,17.8666666667,86.6666666667,-18.8833333333,49.9166666667
08876,47,1,9,4,6,11,12,1,2,0,0,1,0,10.7833333333,38.7166666667,68.1833333333,27.9333333333,57.4
08807,74,0,17,1,16,18,14,5,3,0,0,0,0,16.3,34.6666666667,71.0833333333,18.3666666667,54.7833333333
08902,11,1,2,0,1,3,2,0,2,0,0,0,0,38.25,30.5833333333,72.1333333333,-7.6666666667,33.8833333333
18976,6,0,1,1,2,2,0,0,0,0,0,0,0,51.7,83.7333333333,23.0333333333,32.0333333333,-28.6666666667
07030,23,0,1,0,10,4,4,3,0,1,0,0,0,53.2,26.9666666667,104.75,-26.2333333333,51.55
07652,3,0,1,0,2,0,0,0,0,0,0,0,0,59.65,31.45,116.3333333333,-28.2,56.6833333333
18015,9,0,2,1,0,2,3,1,0,0,0,0,0,46.6166666667,71.5,43.5833333333,24.8833333333,-3.0333333333
08833,39,0,7,4,6,8,9,1,4,0,0,0,0,9.5,39.4166666667,71.5833333333,29.9166666667,62.0833333333
24401,1,0,0,0,0,0,1,0,0,0,0,0,0,303.65,328.5333333333,286.2,24.8833333333,-17.45
07066,8,0,0,1,3,3,1,0,0,0,0,0,0,40.15,11.05,87.6833333333,-29.1,47.5333333333
19446,25,0,7,0,7,1,9,1,0,0,0,0,0,66.5666666667,92,4.85,25.4333333333,-61.7166666667
08853,14,0,1,1,2,5,3,2,0,0,0,0,0,13.1833333333,42.7333333333,61.75,29.55,48.5666666667
08873,35,0,16,2,5,6,5,1,0,0,0,0,0,28.7833333333,34.4333333333,77.5,5.65,48.7166666667
18951,6,0,2,0,2,0,2,0,0,0,0,0,0,57.8,82.6833333333,27.4,24.8833333333,-30.4
18944,12,0,4,2,0,3,3,0,0,0,0,0,0,60.3,87.4666666667,27.2666666667,27.1666666667,-33.0333333333
08502,21,2,4,0,9,3,2,0,1,0,0,0,0,27.7666666667,47.1666666667,68.6666666667,19.4,40.9
08831,7,0,2,0,2,2,0,1,0,0,0,0,0,50.6833333333,37.85,68.1166666667,-12.8333333333,17.4333333333
10306,1,0,0,0,0,1,0,0,0,0,0,0,0,49.15,30.2,94.5333333333,-18.95,45.3833333333
18013,4,0,0,0,0,1,1,2,0,0,0,0,0,54.9166666667,71.4833333333,71.9833333333,16.5666666667,17.0666666667
18902,37,1,6,2,15,5,7,0,1,0,0,0,0,45.1333333333,77.1666666667,32.2333333333,32.0333333333,-12.9
07090,38,0,4,3,4,11,10,5,0,0,1,0,0,37.0333333333,9.4333333333,91.9333333333,-27.6,54.9
08551,14,0,1,1,4,4,2,2,0,0,0,0,0,21.8166666667,51.85,46.4666666667,30.0333333333,24.65
07014,1,0,1,0,0,0,0,0,0,0,0,0,0,52.6166666667,24.4166666667,103.4166666667,-28.2,50.8
08844,68,3,16,4,9,14,10,6,5,1,0,0,0,22.6166666667,41.0333333333,66.4833333333,18.4166666667,43.8666666667
07065,10,0,1,0,3,4,0,2,0,0,0,0,0,41.5166666667,13.8333333333,87.5333333333,-27.6833333333,46.0166666667
07830,12,0,2,3,2,2,2,1,0,0,0,0,0,22.8666666667,46.6833333333,85.7,23.8166666667,62.8333333333
08827,13,1,2,1,2,2,1,1,3,0,0,0,0,23.1166666667,48,71.5,24.8833333333,48.3833333333
07920,58,1,7,12,11,18,7,0,1,0,0,1,0,23.9666666667,30.85,81.85,6.8833333333,57.8833333333
02760,1,0,0,0,1,0,0,0,0,0,0,0,0,245.4833333333,219.4666666667,295.6666666667,-26.0166666667,50.1833333333
07730,4,0,0,0,0,3,0,0,1,0,0,0,0,46.7666666667,28.4333333333,92.1333333333,-18.3333333333,45.3666666667
07746,5,0,0,0,2,2,0,0,1,0,0,0,0,53.0666666667,34.2333333333,82.2666666667,-18.8333333333,29.2
08840,11,0,4,0,3,1,1,1,1,0,0,0,0,31.6666666667,17.9666666667,81.9666666667,-13.7,50.3
19438,14,0,4,0,4,0,5,0,1,0,0,0,0,74.9833333333,99.4833333333,16.35,24.5,-58.6333333333
07022,1,0,0,0,0,1,0,0,0,0,0,0,0,59.0333333333,33.0166666667,108.4833333333,-26.0166666667,49.45
07080,10,0,1,0,2,3,3,1,0,0,0,0,0,28.45,23.4333333333,82.95,-5.0166666667,54.5
07092,7,0,0,1,1,2,1,0,1,1,0,0,0,33.1833333333,10.8666666667,91.6833333333,-22.3166666667,58.5
07005,4,0,1,0,0,3,0,0,0,0,0,0,0,41.1333333333,32.7666666667,98.75,-8.3666666667,57.6166666667
07662,2,0,0,0,1,1,0,0,0,0,0,0,0,55.85,29.3,111.4333333333,-26.55,55.5833333333
08812,8,1,1,0,4,0,1,0,1,0,0,0,0,23,22.5833333333,77.5,-0.4166666667,54.5
07747,5,0,2,0,1,1,0,0,1,0,0,0,0,46.5,28.1666666667,88.35,-18.3333333333,41.85
18045,20,0,5,3,1,3,6,1,1,0,0,0,0,42.45,67.3333333333,57.05,24.8833333333,14.6
