zip_code_area,Change in Minutes per Zip Code
08822,45.9166666667
19095,-49.25
08889,65.0666666667
18947,-12.15
08825,24.7
07936,57.6166666667
08886,35.6166666667
07901,58.0333333333
07073,49.55
08046,-16.7
08865,27.45
07712,22.75
08820,49.9166666667
08876,57.4
08807,54.7833333333
08902,33.8833333333
18976,-28.6666666667
07030,51.55
07652,56.6833333333
18015,-3.0333333333
08833,62.0833333333
24401,-17.45
07066,47.5333333333
19446,-61.7166666667
08853,48.5666666667
08873,48.7166666667
18951,-30.4
18944,-33.0333333333
08502,40.9
08831,17.4333333333
10306,45.3833333333
18013,17.0666666667
18902,-12.9
07090,54.9
08551,24.65
07014,50.8
08844,43.8666666667
07065,46.0166666667
07830,62.8333333333
08827,48.3833333333
07920,57.8833333333
02760,50.1833333333
07730,45.3666666667
07746,29.2
08840,50.3
19438,-58.6333333333
07022,49.45
07080,54.5
07092,58.5
07005,57.6166666667
07662,55.5833333333
08812,54.5
07747,41.85
18045,14.6
07853,58.1833333333
08801,48.15
07832,35.3833333333
18210,-4.3166666667
07023,56.7833333333
07677,56.6833333333
48108,-16.6333333333
07016,49.2333333333
07825,38.9
08837,45.1166666667
08060,-14.9333333333
18040,21.2833333333
07928,58.0333333333
19382,-55.5166666667
07083,52.7
08724,13.9
07010,50.1666666667
08854,54.5
19020,-23.1166666667
07054,57.6166666667
07930,57.0166666667
08540,28.2
18036,-19.5
07202,41
07059,56.35
07974,58.0333333333
18034,-5.4833333333
07027,52.7833333333
08826,51.45
07821,51.1
07042,56.5666666667
07823,36.9333333333
10977,57.6166666667
19422,-57.8166666667
07960,57.6166666667
07860,43.5
07036,43.9166666667
08802,42.3333333333
19075,-49.3666666667
18020,9.65
07306,51.3
19355,-55.0166666667
07826,44.7333333333
11374,51.55
07885,57.6166666667
19426,-64.4
08882,37.55
10310,42.4333333333
19462,-55.4166666667
07670,50.1833333333
07931,57.6166666667
07882,39.9666666667
07945,57.6166666667
07076,57.1666666667
98346,-16.6333333333
08512,14.1
07701,38.9
07676,56.6833333333
08850,38.6833333333
07067,44.7
07922,58.0166666667
07940,57.6166666667
08846,54.5
18042,22.75
18925,-15.1666666667
08559,14.0333333333
18960,-44.8
18901,-21.2833333333
18052,-11.3333333333
18920,10.7833333333
08867,34.8833333333
07078,58.0333333333
07803,57.6166666667
08755,8
07002,47.9
18929,-18.3166666667
10022,50.55
17111,-21.35
08857,36.4666666667
07456,57.6166666667
38117,-17.45
19403,-62.3166666667
10001,49.45
07840,53.55
08809,47.1333333333
07063,54.5166666667
18343,30.25
07753,23.2666666667
07924,57.6166666667
07463,57.6166666667
10993,57.6166666667
18103,-6.8
12060,57.6166666667
02043,50.1833333333
07438,57.6166666667
19116,-23.1333333333
19002,-49.5166666667
08501,-5.2333333333
18054,-49.3
07436,57.6166666667
18938,1.6666666667
08050,1.9333333333
08848,28.2666666667
18914,-38.2166666667
07401,57.6166666667
07033,49.9
19130,-37.7
33067,-48.2833333333
08804,37.2666666667
07950,57.6166666667
08887,44.85
07760,37.6833333333
07045,57.6166666667
08510,-0.8833333333
08805,54.5
07006,57.6166666667
07081,58.4
18017,-0.35
07095,45.1166666667
07110,55.3666666667
08550,4.9666666667
19468,-64.2166666667
08721,14
07720,16.5166666667
07302,50.1333333333
07675,56.6833333333
07728,13.8833333333
07082,57.6166666667
08536,15.35
18074,-48.6166666667
18106,-19.5333333333
08085,-45.6333333333
07863,48.8
08836,54.5
07432,57.6166666667
03825,51.4
08108,-29.2666666667
18039,8
08884,30.8166666667
07068,57.6166666667
19454,-51.8166666667
07834,57.6166666667
27809,-48.2833333333
08823,34.95
18064,12.6166666667
18928,-8
19067,-10.6333333333
